sim_index,mut_rate,sel_coeff,sampling_start,num_samples,num_muts,total_branch_length,sackin_index,norm_sackin,pi,seg_sites,tajimas_d,num_singletons,external_clock_rate,internal_clock_rate,external_muts,internal_muts,external_length,internal_length,exp_fit_var,obsv_fit_var
7,0.0001,0.0,35,200,4010,4636.6,1417,-0.3313915050906035,0.0022378848496091602,0.13402889245585875,-2.915192823275296,3207.0,0.916905955497141,2.282717269061812,3208,802,3689.0,947.6000000000001,0,0.0
8,0.0001,0.0,35,200,3969,4361.8,1247,-0.4116056505631493,0.0027029341463874223,0.13262439807383627,-2.8452393427615896,3079.0,1.0482606779013541,1.9965211086045311,3081,888,3423.5000000000027,938.3000000000002,0,0.0
9,0.0001,0.0,35,200,4102,4864.8,1795,-0.15303299339282517,0.002718417529057854,0.1369716425896201,-2.8554772700415145,3304.0,0.935135082888254,2.6477424632406628,3304,798,3933.8999999999996,930.8999999999999,0,0.0
10,0.0001,0.0,35,200,4358,5026.3,1257,-0.4068871714177054,0.0025985532262704962,0.1456995719636169,-2.8938576213146607,3629.0,0.9417788895321003,1.473581305130462,3629,729,4168.599999999999,857.6999999999997,0,0.0
11,0.0001,0.0,35,200,5130,5810.3,1320,-0.37716075280140904,0.0025891075898487165,0.1714486356340289,-2.9462217573061156,4325.0,0.9161986881697164,1.6208787876656887,4327,803,4893.7,916.6000000000001,0,0.0
12,0.0001,0.0,35,200,4361,5039.3,1111,-0.47577696694118593,0.0024985178702501484,0.14579989299090423,-2.9071180534592376,3560.0,0.92369507280927,1.5836212927296662,3560,801,4107.999999999997,931.3,0,0.0
13,0.0001,0.0,35,200,4611,5452.8,1475,-0.30402432604702906,0.0027052480836499792,0.15415997859818084,-2.899468528263957,3674.0,0.9009343082319161,1.4622727735371943,3675,936,4397.799999999999,1054.9999999999998,0,0.0
14,0.0001,0.0,35,200,3923,4677.5,1336,-0.3696111861686988,0.002621889207944536,0.13111958266452647,-2.852494317421276,3040.0,1.1500229802630477,2.0457469360798144,3041,882,3716.7999999999993,960.7000000000002,0,0.0
15,0.0001,0.0,35,200,4757,5371.6,1337,-0.36913933825415446,0.002586050907291974,0.15904226859283038,-2.9240145386280525,3949.0,0.968359695520203,1.637333149096698,3950,807,4481.4000000000015,890.2000000000003,0,0.0
16,0.0001,0.0,35,200,4426,5091.0,1243,-0.4134930422213268,0.0027156582807026596,0.14797351524879615,-2.8840836163607126,3636.0,0.9019823925249595,2.168796728748167,3636,790,4166.4,924.6,0,0.0
17,0.0001,0.0,35,200,4214,4661.0,1433,-0.3238419384578933,0.002546755984308953,0.14088416265382558,-2.8891601442529633,3327.0,0.9917450889614946,1.5921657775351274,3327,887,3634.8000000000015,1026.1999999999998,0,0.0
18,0.0001,0.0,35,200,4735,5584.6,1168,-0.4488816358121559,0.002501624965383389,0.15830658105939005,-2.9326919820302324,3868.0,0.9190883640624306,2.2848124487584682,3867,868,4640.0,944.6000000000004,0,0.0
